DATE,ICNSA
3/20/1976,330000
3/27/1976,314000
4/3/1976,334000
4/10/1976,366000
4/17/1976,316000
4/24/1976,311000
5/1/1976,313000
5/8/1976,345000
5/15/1976,308000
5/22/1976,311000
5/29/1976,310000
6/5/1976,307000
6/12/1976,351000
6/19/1976,342000
6/26/1976,339000
7/3/1976,401000
7/10/1976,445000
7/17/1976,455000
7/24/1976,418000
7/31/1976,401000
8/7/1976,373000
8/14/1976,329000
8/21/1976,320000
8/28/1976,301000
9/4/1976,321000
9/11/1976,280000
9/18/1976,320000
9/25/1976,327000
10/2/1976,332000
10/9/1976,388000
10/16/1976,325000
10/23/1976,361000
10/30/1976,370000
11/6/1976,387000
11/13/1976,363000
11/20/1976,430000
11/27/1976,369000
12/4/1976,500000
12/11/1976,494000
12/18/1976,434000
12/25/1976,466000
1/1/1977,558000
1/8/1977,685000
1/15/1977,597000
1/22/1977,589000
1/29/1977,518000
2/5/1977,704000
2/12/1977,552000
2/19/1977,422000
2/26/1977,360000
3/5/1977,367000
3/12/1977,335000
3/19/1977,321000
3/26/1977,298000
4/2/1977,296000
4/9/1977,367000
4/16/1977,316000
4/23/1977,314000
4/30/1977,305000
5/7/1977,333000
5/14/1977,309000
5/21/1977,293000
5/28/1977,298000
6/4/1977,283000
6/11/1977,308000
6/18/1977,310000
6/25/1977,321000
7/2/1977,348000
7/9/1977,431000
7/16/1977,424000
7/23/1977,391000
7/30/1977,380000
8/6/1977,379000
8/13/1977,319000
8/20/1977,298000
8/27/1977,282000
9/3/1977,289000
9/10/1977,260000
9/17/1977,289000
9/24/1977,293000
10/1/1977,275000
10/8/1977,345000
10/15/1977,287000
10/22/1977,322000
10/29/1977,309000
11/5/1977,352000
11/12/1977,310000
11/19/1977,367000
11/26/1977,342000
12/3/1977,430000
12/10/1977,448000
12/17/1977,412000
12/24/1977,450000
12/31/1977,535000
1/7/1978,559000
1/14/1978,579000
1/21/1978,500000
1/28/1978,445000
2/4/1978,447000
2/11/1978,438000
2/18/1978,455000
2/25/1978,372000
3/4/1978,360000
3/11/1978,342000
3/18/1978,302000
3/25/1978,280000
4/1/1978,278000
4/8/1978,338000
4/15/1978,279000
4/22/1978,277000
4/29/1978,269000
5/6/1978,291000
5/13/1978,268000
5/20/1978,266000
5/27/1978,256000
6/3/1978,242000
6/10/1978,292000
6/17/1978,287000
6/24/1978,297000
7/1/1978,347000
7/8/1978,428000
7/15/1978,421000
7/22/1978,387000
7/29/1978,371000
8/5/1978,376000
8/12/1978,326000
8/19/1978,287000
8/26/1978,264000
9/2/1978,249000
9/9/1978,246000
9/16/1978,262000
9/23/1978,254000
9/30/1978,249000
10/7/1978,323000
10/14/1978,262000
10/21/1978,287000
10/28/1978,280000
11/4/1978,302000
11/11/1978,286000
11/18/1978,345000
11/25/1978,350000
12/2/1978,427000
12/9/1978,427000
12/16/1978,390000
12/23/1978,447000
12/30/1978,515000
1/6/1979,559000
1/13/1979,680000
1/20/1979,488000
1/27/1979,423000
2/3/1979,424000
2/10/1979,418000
2/17/1979,384000
2/24/1979,364000
3/3/1979,358000
3/10/1979,346000
3/17/1979,315000
3/24/1979,296000
3/31/1979,300000
4/7/1979,449000
4/14/1979,424000
4/21/1979,340000
4/28/1979,303000
5/5/1979,307000
5/12/1979,290000
5/19/1979,280000
5/26/1979,287000
6/2/1979,262000
6/9/1979,322000
6/16/1979,312000
6/23/1979,343000
6/30/1979,366000
7/7/1979,458000
7/14/1979,446000
7/21/1979,445000
7/28/1979,417000
8/4/1979,428000
8/11/1979,360000
8/18/1979,329000
8/25/1979,313000
9/1/1979,312000
9/8/1979,285000
9/15/1979,311000
9/22/1979,309000
9/29/1979,303000
10/6/1979,379000
10/13/1979,335000
10/20/1979,342000
10/27/1979,353000
11/3/1979,372000
11/10/1979,392000
11/17/1979,401000
11/24/1979,379000
12/1/1979,513000
12/8/1979,521000
12/15/1979,455000
12/22/1979,580000
12/29/1979,596000
1/5/1980,574000
1/12/1980,804000
1/19/1980,648000
1/26/1980,515000
2/2/1980,471000
2/9/1980,493000
2/16/1980,418000
2/23/1980,415000
3/1/1980,407000
3/8/1980,413000
3/15/1980,398000
3/22/1980,392000
3/29/1980,399000
4/5/1980,451000
4/12/1980,535000
4/19/1980,495000
4/26/1980,482000
5/3/1980,491000
5/10/1980,526000
5/17/1980,539000
5/24/1980,525000
5/31/1980,477000
6/7/1980,562000
6/14/1980,511000
6/21/1980,529000
6/28/1980,563000
7/5/1980,584000
7/12/1980,643000
7/19/1980,628000
7/26/1980,569000
8/2/1980,536000
8/9/1980,494000
8/16/1980,435000
8/23/1980,410000
8/30/1980,397000
9/6/1980,374000
9/13/1980,414000
9/20/1980,381000
9/27/1980,363000
10/4/1980,410000
10/11/1980,417000
10/18/1980,355000
10/25/1980,384000
11/1/1980,395000
11/8/1980,416000
11/15/1980,403000
11/22/1980,440000
11/29/1980,407000
12/6/1980,534000
12/13/1980,481000
12/20/1980,499000
12/27/1980,546000
1/3/1981,580000
1/10/1981,839000
1/17/1981,638000
1/24/1981,521000
1/31/1981,490000
2/7/1981,500000
2/14/1981,439000
2/21/1981,430000
2/28/1981,432000
3/7/1981,414000
3/14/1981,385000
3/21/1981,365000
3/28/1981,356000
4/4/1981,383000
4/11/1981,401000
4/18/1981,350000
4/25/1981,379000
5/2/1981,342000
5/9/1981,369000
5/16/1981,340000
5/23/1981,342000
5/30/1981,301000
6/6/1981,384000
6/13/1981,367000
6/20/1981,376000
6/27/1981,387000
7/4/1981,430000
7/11/1981,516000
7/18/1981,481000
7/25/1981,429000
8/1/1981,444000
8/8/1981,419000
8/15/1981,369000
8/22/1981,351000
8/29/1981,352000
9/5/1981,396000
9/12/1981,331000
9/19/1981,392000
9/26/1981,392000
10/3/1981,416000
10/10/1981,476000
10/17/1981,408000
10/24/1981,450000
10/31/1981,479000
11/7/1981,534000
11/14/1981,483000
11/21/1981,522000
11/28/1981,535000
12/5/1981,726000
12/12/1981,657000
12/19/1981,644000
12/26/1981,702000
1/2/1982,694300
1/9/1982,1073500
1/16/1982,761700
1/23/1982,771200
1/30/1982,692300
2/6/1982,671000
